encoder,decoder,dataset,seed,latency_ms_per_image,peak_memory_MB,total_params_M,trainable_params_M,flops_G,flops_source,n_warmup,n_timed,device_used,weights
pvt,linear_mlp,isic2018,1,3.738,250.08,24.916,24.916,5.377,fvcore,5,20,cuda,random_init
pvt,linear_mlp,isic2018,2,3.707,250.08,24.916,24.916,5.377,fvcore,5,20,cuda,random_init
pvt,linear_mlp,isic2018,3,3.643,250.08,24.916,24.916,5.377,fvcore,5,20,cuda,random_init
pvt,linear_mlp,isic2018,4,3.756,250.08,24.916,24.916,5.377,fvcore,5,20,cuda,random_init
pvt,semantic_fpn,isic2018,0,4.145,248.27,25.249,25.249,5.714,fvcore,5,20,cuda,random_init
pvt,semantic_fpn,isic2018,1,4.175,248.27,25.249,25.249,5.714,fvcore,5,20,cuda,random_init
pvt,semantic_fpn,isic2018,2,4.172,248.27,25.249,25.249,5.714,fvcore,5,20,cuda,random_init
pvt,semantic_fpn,isic2018,3,4.226,248.27,25.249,25.249,5.714,fvcore,5,20,cuda,random_init
pvt,semantic_fpn,isic2018,4,4.179,248.27,25.249,25.249,5.714,fvcore,5,20,cuda,random_init
pvt,unet,isic2018,0,4.588,181.28,28.245,28.245,13.316,fvcore,5,20,cuda,random_init
pvt,unet,isic2018,1,4.585,181.28,28.245,28.245,13.316,fvcore,5,20,cuda,random_init
pvt,unet,isic2018,2,4.587,181.28,28.245,28.245,13.316,fvcore,5,20,cuda,random_init
pvt,unet,isic2018,3,4.602,181.28,28.245,28.245,13.316,fvcore,5,20,cuda,random_init
pvt,unet,isic2018,4,4.582,181.28,28.245,28.245,13.316,fvcore,5,20,cuda,random_init
pvt,upernet,isic2018,0,4.234,250.14,25.506,25.506,6.203,fvcore,5,20,cuda,random_init
pvt,upernet,isic2018,1,4.28,250.14,25.506,25.506,6.203,fvcore,5,20,cuda,random_init
pvt,upernet,isic2018,2,4.262,250.14,25.506,25.506,6.203,fvcore,5,20,cuda,random_init
pvt,upernet,isic2018,3,4.391,250.14,25.506,25.506,6.203,fvcore,5,20,cuda,random_init
pvt,upernet,isic2018,4,4.235,250.14,25.506,25.506,6.203,fvcore,5,20,cuda,random_init
resnet,cascade,isic2018,0,3.19,325.62,43.17,43.17,10.265,fvcore,5,20,cuda,random_init
resnet,cascade,isic2018,1,3.211,325.62,43.17,43.17,10.265,fvcore,5,20,cuda,random_init
resnet,cascade,isic2018,2,3.187,325.62,43.17,43.17,10.265,fvcore,5,20,cuda,random_init
resnet,cascade,isic2018,3,3.147,325.62,43.17,43.17,10.265,fvcore,5,20,cuda,random_init
resnet,cascade,isic2018,4,3.179,325.62,43.17,43.17,10.265,fvcore,5,20,cuda,random_init
resnet,emcad,isic2018,0,3.594,260.41,26.626,26.626,6.073,fvcore,5,20,cuda,random_init
resnet,emcad,isic2018,1,3.643,260.41,26.626,26.626,6.073,fvcore,5,20,cuda,random_init
resnet,emcad,isic2018,2,3.657,260.41,26.626,26.626,6.073,fvcore,5,20,cuda,random_init
resnet,emcad,isic2018,3,3.566,260.41,26.626,26.626,6.073,fvcore,5,20,cuda,random_init
resnet,emcad,isic2018,4,3.713,260.41,26.626,26.626,6.073,fvcore,5,20,cuda,random_init
resnet,g_cascade,isic2018,0,4.414,363.34,26.488,26.488,6.023,fvcore,5,20,cuda,random_init
resnet,g_cascade,isic2018,1,4.402,363.34,26.488,26.488,6.023,fvcore,5,20,cuda,random_init
resnet,g_cascade,isic2018,2,4.402,363.34,26.488,26.488,6.023,fvcore,5,20,cuda,random_init
resnet,g_cascade,isic2018,3,4.405,363.34,26.488,26.488,6.023,fvcore,5,20,cuda,random_init
resnet,g_cascade,isic2018,4,4.403,363.34,26.488,26.488,6.023,fvcore,5,20,cuda,random_init
resnet,linear_mlp,isic2018,0,1.73,243.13,23.754,23.754,5.497,fvcore,5,20,cuda,random_init
resnet,linear_mlp,isic2018,1,1.743,243.13,23.754,23.754,5.497,fvcore,5,20,cuda,random_init
resnet,linear_mlp,isic2018,2,1.752,243.13,23.754,23.754,5.497,fvcore,5,20,cuda,random_init
resnet,linear_mlp,isic2018,3,1.751,243.13,23.754,23.754,5.497,fvcore,5,20,cuda,random_init
resnet,linear_mlp,isic2018,4,1.743,243.13,23.754,23.754,5.497,fvcore,5,20,cuda,random_init
resnet,semantic_fpn,isic2018,0,2.145,243.67,24.087,24.087,5.834,fvcore,5,20,cuda,random_init
resnet,semantic_fpn,isic2018,1,2.16,243.67,24.087,24.087,5.834,fvcore,5,20,cuda,random_init
resnet,semantic_fpn,isic2018,2,2.182,243.67,24.087,24.087,5.834,fvcore,5,20,cuda,random_init
resnet,semantic_fpn,isic2018,3,2.142,243.67,24.087,24.087,5.834,fvcore,5,20,cuda,random_init
resnet,semantic_fpn,isic2018,4,2.157,243.67,24.087,24.087,5.834,fvcore,5,20,cuda,random_init
resnet,unet,isic2018,0,3.212,279.75,32.617,32.617,15.571,fvcore,5,20,cuda,random_init
resnet,unet,isic2018,1,3.209,279.75,32.617,32.617,15.571,fvcore,5,20,cuda,random_init
resnet,unet,isic2018,2,3.205,279.75,32.617,32.617,15.571,fvcore,5,20,cuda,random_init
resnet,unet,isic2018,3,3.209,279.75,32.617,32.617,15.571,fvcore,5,20,cuda,random_init
resnet,unet,isic2018,4,3.211,279.75,32.617,32.617,15.571,fvcore,5,20,cuda,random_init
resnet,upernet,isic2018,0,2.177,248.24,25.229,25.229,6.375,fvcore,5,20,cuda,random_init
resnet,upernet,isic2018,1,2.243,248.24,25.229,25.229,6.375,fvcore,5,20,cuda,random_init
resnet,upernet,isic2018,2,2.207,248.24,25.229,25.229,6.375,fvcore,5,20,cuda,random_init
resnet,upernet,isic2018,3,2.207,248.24,25.229,25.229,6.375,fvcore,5,20,cuda,random_init
resnet,upernet,isic2018,4,2.263,248.24,25.229,25.229,6.375,fvcore,5,20,cuda,random_init
swin,cascade,isic2018,0,4.754,304.79,37.989,37.989,10.343,fvcore,5,20,cuda,random_init
swin,cascade,isic2018,1,4.702,304.79,37.989,37.989,10.343,fvcore,5,20,cuda,random_init
swin,cascade,isic2018,2,4.807,304.79,37.989,37.989,10.343,fvcore,5,20,cuda,random_init
swin,cascade,isic2018,3,4.74,304.79,37.989,37.989,10.343,fvcore,5,20,cuda,random_init
swin,cascade,isic2018,4,4.664,304.79,37.989,37.989,10.343,fvcore,5,20,cuda,random_init
swin,emcad,isic2018,0,5.07,277.6,29.766,29.766,7.906,fvcore,5,20,cuda,random_init
swin,emcad,isic2018,1,5.163,277.6,29.766,29.766,7.906,fvcore,5,20,cuda,random_init
swin,emcad,isic2018,2,5.075,277.6,29.766,29.766,7.906,fvcore,5,20,cuda,random_init
swin,emcad,isic2018,3,5.073,277.6,29.766,29.766,7.906,fvcore,5,20,cuda,random_init
swin,emcad,isic2018,4,5.024,277.6,29.766,29.766,7.906,fvcore,5,20,cuda,random_init
swin,g_cascade,isic2018,0,5.665,371.63,29.627,29.627,7.856,fvcore,5,20,cuda,random_init
swin,g_cascade,isic2018,1,5.674,371.63,29.627,29.627,7.856,fvcore,5,20,cuda,random_init
swin,g_cascade,isic2018,2,5.673,371.63,29.627,29.627,7.856,fvcore,5,20,cuda,random_init
swin,g_cascade,isic2018,3,6.257,371.63,29.627,29.627,7.856,fvcore,5,20,cuda,random_init
swin,g_cascade,isic2018,4,5.675,371.63,29.627,29.627,7.856,fvcore,5,20,cuda,random_init
swin,linear_mlp,isic2018,0,3.156,263.46,27.61,27.61,7.42,fvcore,5,20,cuda,random_init
swin,linear_mlp,isic2018,1,3.194,263.46,27.61,27.61,7.42,fvcore,5,20,cuda,random_init
swin,linear_mlp,isic2018,2,3.185,263.46,27.61,27.61,7.42,fvcore,5,20,cuda,random_init
swin,linear_mlp,isic2018,3,3.169,263.46,27.61,27.61,7.42,fvcore,5,20,cuda,random_init
swin,linear_mlp,isic2018,4,3.181,263.46,27.61,27.61,7.42,fvcore,5,20,cuda,random_init
swin,semantic_fpn,isic2018,0,3.642,263.02,27.943,27.943,7.757,fvcore,5,20,cuda,random_init
swin,semantic_fpn,isic2018,1,3.827,263.02,27.943,27.943,7.757,fvcore,5,20,cuda,random_init
swin,semantic_fpn,isic2018,2,4.346,263.02,27.943,27.943,7.757,fvcore,5,20,cuda,random_init
swin,semantic_fpn,isic2018,3,4.484,263.02,27.943,27.943,7.757,fvcore,5,20,cuda,random_init
swin,semantic_fpn,isic2018,4,4.326,263.02,27.943,27.943,7.757,fvcore,5,20,cuda,random_init
swin,unet,isic2018,0,4.39,198.5,31.742,31.742,15.684,fvcore,5,20,cuda,random_init
swin,unet,isic2018,1,4.612,198.5,31.742,31.742,15.684,fvcore,5,20,cuda,random_init
swin,unet,isic2018,2,4.391,198.5,31.742,31.742,15.684,fvcore,5,20,cuda,random_init
swin,unet,isic2018,3,4.427,198.5,31.742,31.742,15.684,fvcore,5,20,cuda,random_init
swin,unet,isic2018,4,4.411,198.5,31.742,31.742,15.684,fvcore,5,20,cuda,random_init
swin,upernet,isic2018,0,4.445,264.3,28.348,28.348,8.254,fvcore,5,20,cuda,random_init
swin,upernet,isic2018,1,4.634,264.3,28.348,28.348,8.254,fvcore,5,20,cuda,random_init
swin,upernet,isic2018,2,4.485,264.3,28.348,28.348,8.254,fvcore,5,20,cuda,random_init
swin,upernet,isic2018,3,3.74,264.3,28.348,28.348,8.254,fvcore,5,20,cuda,random_init
swin,upernet,isic2018,4,3.728,264.3,28.348,28.348,8.254,fvcore,5,20,cuda,random_init
vmamba,cascade,isic2018,0,338.45,309.63,39.952,39.952,9.322,fvcore,5,20,cuda,random_init
vmamba,cascade,isic2018,1,341.045,309.63,39.952,39.952,9.322,fvcore,5,20,cuda,random_init
vmamba,cascade,isic2018,2,338.248,309.63,39.952,39.952,9.322,fvcore,5,20,cuda,random_init
vmamba,cascade,isic2018,3,339.739,309.63,39.952,39.952,9.322,fvcore,5,20,cuda,random_init
vmamba,cascade,isic2018,4,339.074,309.63,39.952,39.952,9.322,fvcore,5,20,cuda,random_init
vmamba,emcad,isic2018,0,341.368,275.24,31.729,31.729,6.885,fvcore,5,20,cuda,random_init
vmamba,emcad,isic2018,1,342.41,275.24,31.729,31.729,6.885,fvcore,5,20,cuda,random_init
vmamba,emcad,isic2018,2,337.37,275.24,31.729,31.729,6.885,fvcore,5,20,cuda,random_init
vmamba,emcad,isic2018,3,339.03,275.24,31.729,31.729,6.885,fvcore,5,20,cuda,random_init
vmamba,emcad,isic2018,4,339.221,275.24,31.729,31.729,6.885,fvcore,5,20,cuda,random_init
vmamba,g_cascade,isic2018,0,340.337,377.0,31.59,31.59,6.835,fvcore,5,20,cuda,random_init
vmamba,g_cascade,isic2018,1,347.617,377.0,31.59,31.59,6.835,fvcore,5,20,cuda,random_init
vmamba,g_cascade,isic2018,2,339.111,377.0,31.59,31.59,6.835,fvcore,5,20,cuda,random_init
vmamba,g_cascade,isic2018,3,339.996,377.0,31.59,31.59,6.835,fvcore,5,20,cuda,random_init
vmamba,g_cascade,isic2018,4,339.841,377.0,31.59,31.59,6.835,fvcore,5,20,cuda,random_init
vmamba,linear_mlp,isic2018,0,348.511,266.52,29.574,29.574,6.399,fvcore,5,20,cuda,random_init
vmamba,linear_mlp,isic2018,1,338.317,266.52,29.574,29.574,6.399,fvcore,5,20,cuda,random_init
vmamba,linear_mlp,isic2018,2,336.57,266.52,29.574,29.574,6.399,fvcore,5,20,cuda,random_init
vmamba,linear_mlp,isic2018,3,342.419,266.52,29.574,29.574,6.399,fvcore,5,20,cuda,random_init
vmamba,linear_mlp,isic2018,4,338.406,266.52,29.574,29.574,6.399,fvcore,5,20,cuda,random_init
vmamba,semantic_fpn,isic2018,0,340.59,267.85,29.907,29.907,6.736,fvcore,5,20,cuda,random_init
vmamba,semantic_fpn,isic2018,1,334.878,267.85,29.907,29.907,6.736,fvcore,5,20,cuda,random_init
vmamba,semantic_fpn,isic2018,2,334.222,267.85,29.907,29.907,6.736,fvcore,5,20,cuda,random_init
vmamba,semantic_fpn,isic2018,3,341.74,267.85,29.907,29.907,6.736,fvcore,5,20,cuda,random_init
vmamba,semantic_fpn,isic2018,4,344.946,267.85,29.907,29.907,6.736,fvcore,5,20,cuda,random_init
vmamba,unet,isic2018,0,336.843,283.47,33.706,33.706,14.663,fvcore,5,20,cuda,random_init
vmamba,unet,isic2018,1,335.046,283.47,33.706,33.706,14.663,fvcore,5,20,cuda,random_init
vmamba,unet,isic2018,2,334.663,283.47,33.706,33.706,14.663,fvcore,5,20,cuda,random_init
vmamba,unet,isic2018,3,339.062,283.47,33.706,33.706,14.663,fvcore,5,20,cuda,random_init
vmamba,unet,isic2018,4,343.036,283.47,33.706,33.706,14.663,fvcore,5,20,cuda,random_init
vmamba,upernet,isic2018,0,335.405,268.61,30.312,30.312,7.233,fvcore,5,20,cuda,random_init
vmamba,upernet,isic2018,1,344.087,268.61,30.312,30.312,7.233,fvcore,5,20,cuda,random_init
vmamba,upernet,isic2018,2,334.349,268.61,30.312,30.312,7.233,fvcore,5,20,cuda,random_init
vmamba,upernet,isic2018,3,339.201,268.61,30.312,30.312,7.233,fvcore,5,20,cuda,random_init
vmamba,upernet,isic2018,4,341.544,268.61,30.312,30.312,7.233,fvcore,5,20,cuda,random_init
