encoder,decoder,dataset,seed,latency_ms_per_image,peak_memory_MB,total_params_M,trainable_params_M,flops_G,flops_source,n_warmup,n_timed,device_used,test_dice,test_iou
convnext,xboundformer,busi,1,6.838,608.59,55.498,55.498,9.723,fvcore,5,20,cuda,0.8056270795709947,0.7060878557317397
convnext,xboundformer,busi,2,6.983,608.59,55.498,55.498,9.723,fvcore,5,20,cuda,0.8105810845599455,0.7196640547584084
convnext,xboundformer,busi,3,8.093,608.59,55.498,55.498,9.723,fvcore,5,20,cuda,0.8023015926865971,0.7092942630543428
convnext,xboundformer,busi,4,6.938,608.59,55.498,55.498,9.723,fvcore,5,20,cuda,0.7948494062704199,0.6970727689125958
convnext,xboundformer,isic2018,0,8.139,608.59,55.498,55.498,9.723,fvcore,5,20,cuda,0.8901895660620469,0.8170959280087398
convnext,xboundformer,isic2018,1,6.95,608.59,55.498,55.498,9.723,fvcore,5,20,cuda,0.8928733697304359,0.8205282743160541
convnext,xboundformer,isic2018,2,6.899,608.59,55.498,55.498,9.723,fvcore,5,20,cuda,0.8896238033588116,0.8158671745887169
convnext,xboundformer,isic2018,3,6.819,608.59,55.498,55.498,9.723,fvcore,5,20,cuda,0.8921747391040509,0.8199657018368061
convnext,xboundformer,isic2018,4,6.82,608.59,55.498,55.498,9.723,fvcore,5,20,cuda,0.8945369858008164,0.8218485648815449
convnext,xboundformer,polyp_kvasir,0,6.858,608.59,55.498,55.498,9.723,fvcore,5,20,cuda,0.8944042600118197,0.8328790664672852
convnext,xboundformer,polyp_kvasir,1,6.959,608.59,55.498,55.498,9.723,fvcore,5,20,cuda,0.9009515001223638,0.8372479447951684
convnext,xboundformer,polyp_kvasir,2,8.122,608.59,55.498,55.498,9.723,fvcore,5,20,cuda,0.8986795269525968,0.8342375571911151
convnext,xboundformer,polyp_kvasir,3,8.504,608.59,55.498,55.498,9.723,fvcore,5,20,cuda,0.8972371403987591,0.8320581867144659
convnext,xboundformer,polyp_kvasir,4,8.201,608.59,55.498,55.498,9.723,fvcore,5,20,cuda,0.8980188828248244,0.831728077851809
convnext,xboundformer,tn3k,0,8.127,608.59,55.498,55.498,9.723,fvcore,5,20,cuda,0.8223916895977863,0.7383376383162165
convnext,xboundformer,tn3k,1,8.073,608.59,55.498,55.498,9.723,fvcore,5,20,cuda,0.8275114677169106,0.7421006506139581
convnext,xboundformer,tn3k,2,6.864,608.59,55.498,55.498,9.723,fvcore,5,20,cuda,0.8267829929079328,0.7415680645348189
