encoder,decoder,dataset,n_seeds,test_dice,test_iou,ph2_zeroshot_dice,ph2_zeroshot_iou,total_params_M,flops_G,latency_ms_per_image,peak_memory_MB
swin,baseline_emcad,busi,5,81.50 ± 0.73,72.59 ± 0.77,-,-,29.77,7.91,11.26,800.98
swin,baseline_emcad,isic2018,5,90.21 ± 0.21,83.53 ± 0.33,90.66 ± 0.74,83.63 ± 1.21,29.77,7.91,11.36,801.06
swin,baseline_emcad,polyp_kvasir,5,90.81 ± 0.82,85.43 ± 0.90,-,-,29.77,7.91,14.88,798.88
swin,baseline_emcad,tn3k,5,83.36 ± 0.53,75.32 ± 0.56,-,-,29.77,7.91,11.06,799.36
swin,baseline_g_cascade,busi,5,81.04 ± 1.73,72.16 ± 1.94,-,-,29.63,7.86,23.06,884.20
swin,baseline_g_cascade,isic2018,5,90.03 ± 0.05,83.35 ± 0.09,91.02 ± 0.30,84.18 ± 0.49,29.63,7.86,22.64,884.20
swin,baseline_g_cascade,polyp_kvasir,5,90.76 ± 0.66,85.22 ± 0.87,-,-,29.63,7.86,17.57,883.85
swin,baseline_g_cascade,tn3k,5,83.00 ± 0.52,74.69 ± 0.54,-,-,29.63,7.86,17.53,884.20
vmamba,baseline_cascade,busi,5,81.55 ± 0.81,73.07 ± 0.98,-,-,39.95,9.30,10.04,982.32
vmamba,baseline_cascade,isic2018,5,90.22 ± 0.20,83.58 ± 0.27,91.40 ± 0.54,84.87 ± 0.92,39.95,9.30,11.52,982.32
vmamba,baseline_cascade,polyp_kvasir,5,92.18 ± 0.50,87.11 ± 0.55,-,-,39.95,9.30,13.12,982.32
vmamba,baseline_cascade,tn3k,5,84.18 ± 0.12,76.26 ± 0.19,-,-,39.95,9.30,13.26,982.32
vmamba,baseline_emcad,busi,5,82.16 ± 0.60,73.71 ± 0.68,-,-,31.73,6.87,12.47,819.81
vmamba,baseline_emcad,isic2018,5,90.06 ± 0.28,83.30 ± 0.36,91.59 ± 0.71,85.17 ± 1.15,31.73,6.87,17.35,822.03
vmamba,baseline_emcad,polyp_kvasir,5,91.34 ± 0.47,86.19 ± 0.69,-,-,31.73,6.87,13.22,817.71
vmamba,baseline_emcad,tn3k,5,83.61 ± 0.18,75.65 ± 0.28,-,-,31.73,6.87,12.99,819.81
vmamba,baseline_g_cascade,busi,5,82.26 ± 0.27,73.91 ± 0.33,-,-,31.59,6.82,13.11,912.70
vmamba,baseline_g_cascade,isic2018,5,90.08 ± 0.32,83.28 ± 0.41,91.19 ± 0.38,84.52 ± 0.68,31.59,6.82,13.07,912.70
vmamba,baseline_g_cascade,polyp_kvasir,5,91.96 ± 0.61,86.91 ± 0.83,-,-,31.59,6.82,19.36,912.70
vmamba,baseline_g_cascade,tn3k,5,83.45 ± 0.37,75.46 ± 0.45,-,-,31.59,6.82,13.08,912.70
